"client_id","client_first_name","client_middle_name","client_last_name","client_fio_full","client_bday","client_bplace","client_cityzen","client_resident_cd","client_gender","client_marital_cd","client_graduate","client_child_cnt","client_mil_cd","client_zagran_cd","client_inn","client_snils","client_vip_cd","contact_vc","contact_tg","contact_other","contact_email","contact_phone","addr_region","addr_country","addr_zip","addr_street","addr_house","addr_body","addr_flat","addr_area","addr_loc","addr_city","addr_reg_dt","addr_str","fin_rating","fin_loan_limit","fin_loan_value","fin_loan_debt","fin_loan_percent","fin_loan_begin_dt","fin_loan_end_dt","stream_favorite_show","stream_duration","create_date","update_date","source_cd"
"67","акслу","пахрутдиновна","русская","русская акслу пахрутдиновна","1980-05-22","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","russkay@optician.com","9309109253","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","","1491","2020-11-02","2023-08-24","","[249530918]"
"68","рафиса","земфировна","третяк","третяк рафиса земфировна","1945-04-05","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","tretyk@pop3.ru","9207133394","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","big little lies","873","2024-06-22","2024-06-22","","[603648080]"
"69","жалгаспай","хайсалитынович","жемойда","жемойда жалгаспай хайсалитынович","1917-12-18","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","zemojda@portsaid.cc","9891362174","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the haunting of hill house","889","2021-02-16","2023-01-07","","[925207389]"
"70","эльдар","баяраавна","чемых","чемых эльдар баяраавна","1964-06-30","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","hemyk@omani.ws","9341217750","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","money heist","714","2022-04-07","2022-04-07","","[901702274]"
"71","мируэт","антиповна","завелицкая","завелицкая мируэт антиповна","1927-01-22","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","zavelizkay@music.com","9618421805","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","peaky blinders","682","2020-08-14","2020-08-14","","[536405992]"
"72","цагик","аннамуратовна","накорякова","накорякова цагик аннамуратовна","1901-02-20","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","nakorykova@comic.com","9416083495","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","deadpool","1151","2020-08-20","2020-08-20","","[431025551]"
"73","лёва","инелевич","деш","деш лёва инелевич","2044-08-15","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","deh@grapemail.net","9391282273","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the truman show","1445","2021-09-14","2021-09-14","","[944824242]"
"74","возих","мамадуманович","савран","савран возих мамадуманович","1967-09-27","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","savran@inbox.ru","9028089490","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","лучше звоните солу","1363","2020-11-15","2020-11-15","","[800845492]"
"75","цыпилма","якшибаевна","сулий","сулий цыпилма якшибаевна","","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","sulij@munich.com","9634449805","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","memento","1","2022-01-07","2022-01-19","","[926442711]"
"76","загидат","аршалусовна","цибегеева","цибегеева загидат аршалусовна","1987-06-11","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","zibegeeva@rapstar.com","9973697790","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","однажды в голливуде","920","2020-09-18","2020-09-18","","[8600447]"
"77","исламутдин","небиевич","эгоф","эгоф исламутдин небиевич","1990-06-05","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","egof@ratedx.net","9158901792","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the queen's gambit","1432","2020-05-15","2020-05-15","","[592428621]"
"78","назимжан","дамдинович","поп","поп назимжан дамдинович","1975-05-28","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","pop@bigmailbox.net","9256808342","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","ведьмак","1394","2023-10-30","2023-10-30","","[874270486]"
"79","милада","мязидовна","москинова","москинова милада мязидовна","1994-07-02","""""","""""","","ж","","""""","2","","","","","""""","""""","""""","""""","moskinova@postamatik.com","9412761185","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","money heist","733","2021-07-22","2022-01-03","","[367391504]"
"80","махсуда","мусавна","лантинова","лантинова махсуда мусавна","1925-08-15","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","lantinova@kuwaiti.tv","9098042508","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","moonlight","828","2023-01-08","2023-01-08","","[929734422]"
"81","олёна","епремовна","гик","гик олёна епремовна","0072-05-31","""""","""""","","ж","","""""","2","","","","","""""","""""","""""","""""","gik@musician.org","9545934083","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","семь","561","2021-12-28","2021-12-28","","[232340255]"
"82","кураши","лероновна","дрогунская","дрогунская кураши лероновна","1973-09-12","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","drogunskay@puertoricowow.com","9268954570","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","остаться в живых","1497","2022-05-07","2022-08-03","","[725664431]"
"83","эркинбой","чилоевич","лурье","лурье эркинбой чилоевич","1994-04-06","казарма 1024 км можгинского района удмуртской асср","rus","","м","","""""","","","","","","""""","""""","""""","""""","lur_e@upakovka.org","9261679953","64","1103","","строителей","""10""","""""","""2""","саратовский","саратов","""""","","""64","","","","","","","","","","","","","[980918552]"
"84","алейханум","жабраиловна","кутынина","кутынина алейханум жабраиловна","1989-12-31","с.семово лысковского р-на нижегородской обл.","rus","","ж","","""""","","","","","","""""","""""","""""","""""","kutynina@kemerovo.tv","9781754930","36","1103","","генерала лизюкова","""65""","""""","""92""","""""","""""","воронеж","","""36","","","","","","","","","","","","","[638356722]"
